City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
236,Puerto Carreno,CO,80.01,broken clouds,6.189,-67.4859,Casa Hotel Victoria
237,Sao Joao Da Barra,BR,75.74,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
251,Port Augusta,AU,75.0,clear sky,-32.5,137.7667,Majestic Oasis Apartments
258,Touros,BR,75.2,few clouds,-5.1989,-35.4608,INN NEW HORIZON
274,Namibe,AO,75.52,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
286,Jacmel,HT,75.2,few clouds,18.2342,-72.5347,Hotel Florita
296,Srinivaspur,IN,81.0,few clouds,13.3333,78.2167,Anjaneya Temple
298,Acapulco,MX,78.8,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
300,Kirakira,SB,82.29,scattered clouds,-10.4544,161.9205,SanBiz Lodge
309,Arraial Do Cabo,BR,76.3,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
313,Ringas,IN,78.8,haze,27.35,75.5667,Hotel Raghu Palace
318,Candolim,IN,82.4,few clouds,15.5181,73.7626,Resort Terra Paraiso
319,Kokopo,PG,85.33,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
325,Along,IN,80.65,scattered clouds,28.1667,94.7667,Hotel West
327,Kavieng,PG,84.78,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
328,Kano,NG,78.8,haze,12.0001,8.5167,Havana Guest Inn
330,Saint-Georges,GD,77.14,overcast clouds,12.0564,-61.7485,Siesta Hotel
333,Honiara,SB,81.32,overcast clouds,-9.4333,159.95,Heritage Park Hotel
334,Osmanabad,IN,84.2,clear sky,18.1667,76.05,Hotel Megh Malhar
337,Kalmunai,LK,82.78,broken clouds,7.4167,81.8167,VS Villa
340,Cabedelo,BR,77.0,few clouds,-6.9811,-34.8339,Hotel Pigalle
342,Padang,ID,84.2,few clouds,-0.9492,100.3543,Mercure Padang
343,Karwar,IN,84.51,clear sky,14.8,74.1333,Netalco Connects
344,Bairiki,KI,86.0,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
345,Bonthe,SL,76.93,light rain,7.5264,-12.505,Bonthe Holiday Village
348,Magadi,IN,82.99,few clouds,12.9667,77.2333,Mindri of Magadi
349,Trairi,BR,75.76,clear sky,-3.2778,-39.2689,janelas do mar
355,Samut Prakan,TH,89.01,few clouds,13.5,100.45,bannwangchoop homestay
363,Sola,VU,87.8,broken clouds,-13.8833,167.55,Leumerus Bungalows
364,Talara,PE,77.43,overcast clouds,-4.5772,-81.2719,Hostal Oro Negro
375,Manta,EC,78.8,light rain,-0.95,-80.7333,Balandra Hotel
377,Sinnamary,GF,76.75,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
382,Daru,PG,83.82,broken clouds,-9.0763,143.2092,Daru Lodge
384,Sungaipenuh,ID,78.71,broken clouds,-2.0833,101.3833,Hotel Jaya Wisata 2
392,Saint-Pierre,RE,77.0,broken clouds,-21.3393,55.4781,Lindsey Hôtel
393,Antalaha,MG,77.27,few clouds,-14.9003,50.2788,Hotel Vitasoa
396,Paka,MY,84.2,scattered clouds,4.6374,103.4368,Rumbia Resort Villa Paka Terengganu
401,Vaitape,PF,83.12,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
416,Vanimo,PG,84.47,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
420,Ratnagiri,IN,85.71,clear sky,16.9833,73.3,Hotel Landmark
421,Ocara,BR,82.0,clear sky,-4.4908,-38.5967,Pousada familiar
430,Alofi,NU,84.2,overcast clouds,-19.0595,-169.9187,Taloa Heights
432,Pitimbu,BR,75.2,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
433,Saint-Leu,RE,77.0,broken clouds,-21.15,55.2833,La Caz Oceane
434,Wanning,CN,77.83,scattered clouds,18.8003,110.3967,Paradise Hotel
437,Itarema,BR,76.93,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
439,Cockburn Town,TC,75.22,clear sky,21.4612,-71.1419,Osprey Beach Hotel
441,Phibun Mangsahan,TH,88.0,clear sky,15.2447,105.2291,ซันนี่ รีสอร์ท
443,San Pablo,PH,86.0,broken clouds,14.0669,121.3258,SIESTA RESIDENCIA DE ARAGO
445,Warri,NG,75.87,overcast clouds,5.5167,5.75,BON Hotel Delta
446,Zhuhai,CN,82.99,few clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
466,Oranjestad,AW,78.8,scattered clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
478,Sorong,ID,84.74,few clouds,-0.8833,131.25,The Waigo Hotel
481,Tautira,PF,86.0,broken clouds,-17.7333,-149.15,Pension Oaoa
489,Lakatoro,VU,82.63,light rain,-16.0999,167.4164,Lakatoro Palm Lodge
491,Ewa Beach,US,77.0,overcast clouds,21.3156,-158.0072,Uncle Junior Robert
494,Hong Gai,VN,75.2,broken clouds,20.956,107.0946,Hạ Long DC Hotel
497,Cayenne,GF,78.01,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
